chr1	11869	248937043
chr2	38814	242175634
chr3	23757	198228376
chr4	49096	190196190
chr5	58198	181472430
chr6	95124	170745977
chr7	12704	159233377
chr8	64091	145056030
chr9	12134	138286430
chr10	14061	133778699
chr11	75780	135075899
chr12	12310	133238438
chr13	18174010	114346637
chr14	16057472	106879812
chr15	19878555	101979093
chr16	11555	90222678
chr17	64099	83240804
chr18	11103	80247546
chr19	60951	58599801
chr20	87250	64327972
chr21	5011799	46691226
chr22	10939388	50801309
chrX	253743	156027877
chrY	2784749	56855488
